COD_VIA;VIA_SQC;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;FECHA_DE_ALTA;FECHA_DE_BAJA;VIA_ESTADO
00000938;1;PLAZA;DE;JOSE MOÑINO CONDE DE FLORIDA BLANCA;JOSÉ MOÑINO CONDE DE FLORIDA BLANCA;27/07/1990;;V
00000939;1;GLORIETA;DE LAS;REALES ACADEMIAS;REALES ACADEMIAS;27/07/1990;;V
00000940;1;GLORIETA;DE;JOSE FRANCISCO DE ISLA;JOSÉ FRANCISCO DE ISLA;27/07/1990;;V
00000941;1;PLAZA;DE;JUAN PABLO FORNER;JUAN PABLO FORNER;27/07/1990;;V
00000942;1;GLORIETA;DE;MARIANO SALVADOR MAELLA;MARIANO SALVADOR MAELLA;27/07/1990;;V
00000943;1;GLORIETA;DE;FRANCISCO BAYEU Y SUBIAS;FRANCISCO BAYEU Y SUBÍAS;27/07/1990;;V
00000944;1;CALLE;DEL;DOCTOR RAMON CASTROVIEJO;DOCTOR RAMÓN CASTROVIEJO;27/07/1990;;V
00000945;1;PASEO;DE LA;VAGUADA;VAGUADA;27/07/1990;;V
00000947;1;CALLE;DE;RAMON ARECES;RAMÓN ARECES;27/09/1990;;V
00000948;1;CALLE;DE;LITUANIA;LITUANIA;27/09/1990;;V
00000949;1;CALLE;DE;MANUEL MACHADO;MANUEL MACHADO;27/09/1990;;V
00000950;1;CALLE;DEL;ALCALDE LUIS MARICHALAR;ALCALDE LUIS MARICHALAR;27/09/1990;;V
00000951;1;CALLE;DE;FELIX RODRIGUEZ DE LA FUENTE;FÉLIX RODRÍGUEZ DE LA FUENTE;27/09/1990;;V
00000952;1;CALLE;DE LA;PRIMAVERA DE PRAGA;PRIMAVERA DE PRAGA;27/09/1990;;V
00000953;1;CALLE;DE;ALFREDO BRAÑAS;ALFREDO BRAÑAS;27/09/1990;;V
00000954;1;CALLE;DE;CARMEN AMAYA;CARMEN AMAYA;27/09/1990;;V
00000955;1;CALLE;DEL;GENERAL JUAN VAN-HALEN;GENERAL JUAN VAN-HALEN;27/09/1990;;V
00000956;1;CALLE;DE;EUGENIO D'ORS;EUGENIO D'ORS;27/09/1990;;V
00000957;1;ACCESO;AL;PARQUE DE LA ELIPA;PARQUE DE LA ELIPA;27/09/1990;;V
00000958;1;CALLE;DE;MARIO CABRE;MARIO CABRE;27/09/1990;;V
00000959;1;CALLE;DE LA;CIUDAD DE AGUILAS;CIUDAD DE ÁGUILAS;27/09/1990;;V
00000960;1;CALLE;DE;FLORENCIO CANO CRISTOBAL;FLORENCIO CANO CRISTÓBAL;27/09/1990;;V
00000961;1;CALLE;DE;EL PAULAR;EL PAULAR;27/09/1990;;V
00000962;1;CALLE;DE;ALONSO DE CONTRERAS;ALONSO DE CONTRERAS;27/09/1990;;V
00000963;1;CALLE;DE;MANUEL AZAÑA;MANUEL AZAÑA;30/10/1990;;V
00000964;1;TRAVESIA;DE;TELLEZ;TÉLLEZ;30/10/1990;;V
